Date,Time,Rud,Ele,Thr,Ail,P1,P2,SL2,SA,SD,SE,SF,SG,SH,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-17,35:59.9,248,-75,-371,-9,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1496,1464,1319,1621,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.0,367,-38,-554,80,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1539,1482,1229,1679,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.1,506,-3,-589,210,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1603,1499,1212,1747,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.2,412,-3,-341,236,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1615,1499,1334,1701,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.3,284,-3,-216,193,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1594,1499,1395,1638,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.4,184,-31,-98,2,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1501,1485,1452,1590,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.5,34,-96,166,-4,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1499,1453,1581,1516,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.6,0,-79,79,92,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1545,1462,1538,1500,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.7,74,-8,-284,311,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1652,1496,1361,1536,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.8,167,-2,-384,268,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1631,1499,1313,1581,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:00.9,79,-3,-274,150,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1573,1499,1366,1538,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:01.0,78,-4,-218,148,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1572,1498,1394,1538,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:01.1,109,-3,-208,159,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1578,1499,1399,1553,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:01.2,255,-2,-106,231,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1613,1499,1448,1624,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,36:01.3,58,-4,154,221,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1608,1498,1575,1528,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
